10000 50000
3126 2703 56.5001
1687 8448 62.1736
4313 377 39.2779
5386 8751 60.9338
5269 1910 75.6846
8671 7275 27.6419
1684 8941 48.7176
9657 6948 81.1768
34 1445 34.66
9132 2835 99.2976
1809 8885 73.043
2944 4570 73.1141
222 1751 16.0782
6928 2712 76.396
9048 3530 79.4018
5050 4767 4.12869
523 3503 91.9548
4332 6526 36.6289
2264 7991 51.0796
629 5968 31.4287
8281 9067 32.0054
1145 8399 46.7356
6033 6036 40.8682
9756 7932 57.9131
7028 2421 68.6221
7592 5341 32.2987
4221 9322 55.8292
6492 2192 54.1253
5341 4747 91.367
5372 8247 31.8318
5990 9663 23.4453
7563 6090 23.1164
5448 4951 8.96593
2474 9296 30.8525
5347 8576 5.16611
6646 9589 8.63331
9786 8477 98.237
2987 5631 30.668
2193 3276 27.1128
9608 9591 98.1263
9636 8829 15.7458
9328 3233 25.443
5941 2126 77.4047
12 6935 54.0133
7428 9554 74.1653
8157 8395 63.7752
1191 1560 28.6107
8186 4814 0.609564
2067 8343 42.6173
9419 458 29.6559
7084 1634 17.2999
7954 3101 53.007
608 8859 93.1475
6724 5622 53.9665
4285 7427 71.2081
9223 3196 89.7928
2460 7356 8.64447
7641 9145 80.3619
9058 2286 70.1378
4121 9852 55.5022
5022 7107 4.40218
6131 4469 67.9976
6467 6257 54.3216
9327 3795 53.6792
5275 7538 14.0412
7514 8140 82.9349
1656 3265 37.7768
7552 6260 73.1183
2446 5146 85.2558
4213 3871 75.7584
3994 7331 92.9633
6466 1083 53.5249
3241 325 27.642
242 3270 91.9756
9846 3362 0.718315
5341 5906 53.211
7307 418 16.576
9242 7764 81.5891
9070 3042 32.8259
6500 4242 43.6366
9682 9282 48.8366
6293 8766 76.5288
6131 5960 87.195
4209 4274 58.4209
3536 7618 86.8146
7013 1129 57.7747
6573 2834 18.769
9450 16 78.2408
6484 5052 51.7619
5997 2284 51.4265
4910 314 18.1795
9631 6744 71.474
3091 7555 98.3986
4463 4214 85.4348
6297 9051 52.3297
5936 5650 19.623
2553 262 30.5508
5977 2553 7.82815
6258 7208 51.3666
8601 1629 37.7938
7416 2058 0.372473
6862 9382 56.762
3268 7155 76.478
8292 1264 19.3297
603 1425 61.5066
7510 727 78.0935
4177 224 78.4588
966 8203 44.3592
9789 6289 33.9489
2407 6375 44.1776
5333 5144 46.2185
8636 4816 53.7229
7152 4704 19.2739
6425 6217 42.5951
4361 6542 87.7286
7519 4370 31.878
1708 8636 19.4707
5123 6061 74.1498
9679 9145 42.4379
4779 4342 32.9173
3010 6832 4.13047
7761 6555 40.5219
4090 9881 23.5234
189 7835 68.03
8738 9011 72.9051
3846 1877 67.0186
7373 5613 87.0468
5589 5699 8.95824
3074 8477 15.9625
366 5521 77.3081
4344 1727 7.36015
2877 3001 59.7912
249 3687 69.1765
8888 5615 85.9546
4316 6919 29.3017
6525 4858 84.7268
3159 4298 58.8572
5550 4060 17.6902
6637 8299 77.4884
3108 9848 7.02629
1462 6393 43.9376
2460 91 11.5805
9926 2785 75.9727
